,input_words,predicted_label,gold_label
10,"['Poor', 'customer', 'service', 'Im', 'very', 'patient', '10am', 'Sunday', 'December', '17th', 'I', 'ordered', 'a', 'coffee', 'and', 'a', 'sausage', 'egg', 'and', 'cheddar', 'Received', 'my', 'coffee', 'ok', 'but', 'waited', '15', 'minutes', 'for', 'no', 'muffin', 'Many', 'had', 'went', 'through', 'the', 'line', 'by', 'then', 'and', 'received', 'food', 'I', 'mentioned', 'it', 'to', 'the', 'person', 'at', 'the', 'bar', 'She', 'yelled', 'it', 'down', 'the', 'way', 'and', 'assured', 'me', 'it', 'would', 'be', 'a', 'minute', 'I', 'waited', 'another', '10', 'minutes', 'nothing', 'I', 'went', 'to', 'the', 'front', 'counter', 'told', 'the', 'story', 'to', 'the', 'person', 'at', 'the', 'register', 'Same', 'thing', '10', 'minutes', 'nothing', 'Returned', 'to', 'her', 'again', 'she', 'said', 'oh', 'are', 'you', 'still', 'waiting', 'on', 'your', 'muffin', 'I', 'said', 'no', 'Im', 'done', 'can', 'I', 'get', 'a', 'refund', 'or', 'something', 'She', 'gave', 'me', 'a', 'refund', 'for', 'my', 'muffin', 'only', 'and', 'said', 'nothing', 'not', 'even', 'a', 'sorry', 'Not', 'friendly', 'not', 'cool']",1,0
11,"['Okay', 'so', 'we', 'went', 'there', 'at', '7', 'pm', 'and', 'ordered', 'one', 'takoyaki', 'and', 'one', 'spicy', 'miso', 'ramen', 'and', 'we', 'wait', 'for', '45minutes', 'and', 'between', 'those', 'time', 'we', 'asked', 'waiter', 'when', 'is', 'our', 'food', 'coming', 'And', 'they', 'are', 'keep', 'saying', 'soon', 'and', 'soon', 'and', 'finally', 'takoyaki', 'came', 'out', 'and', 'we', 'waited', 'another', '15min', 'for', 'ramen', 'and', 'we', 'had', 'to', 'leave', 'so', 'we', 'cancelled', 'the', 'ramen', 'and', 'owner', 'came', 'out', 'to', 'ask', 'us', 'why', 'we', 'cancel', 'the', 'ramen', 'and', 'he', 'was', 'very', 'very', 'rude', 'but', 'we', 'really', 'had', 'to', 'leave', 'so', 'we', 'leftthey', 'did', 'not', 'charge', 'us', 'but', 'it', 'was', 'worst', 'experience', 'ever', 'btw', 'it', 'was', 'not', 'just', 'our', 'table', 'all', 'other', 'tables', 'were', 'complaining', 'bc', 'food', 'was', 'coming', 'out', 'late', 'too']",1,0
12,"['I', 'dont', 'normally', 'like', 'to', 'give', 'bad', 'reviews', 'but', 'Im', 'staying', 'at', 'Tropicana', 'hotel', 'right', 'now', 'for', 'a', 'conference', 'and', 'as', 'Im', 'getting', 'ready', 'the', 'power', 'goes', 'off', 'Its', 'been', '20', 'minutes', 'now', 'and', 'no', 'resolution', 'So', 'I', 'have', 'to', 'walk', 'down', '9', 'flights', 'of', 'stairs', 'so', 'I', 'can', 'make', 'it', 'to', 'my', 'conference', 'Tropicana', 'I', 'hope', 'you', 'can', 'make', 'this', 'right', 'this', 'should', 'never', 'happen']",0,1
13,"['I', 'have', 'been', 'going', 'to', 'this', 'nail', 'salon', 'my', 'whole', 'life', 'given', 'that', 'I', 'have', 'lived', 'in', 'the', 'area', 'my', 'whole', 'life', '23', 'years', 'and', 'never', 'had', 'a', 'problem', 'until', 'recently', 'They', 'have', 'just', 'been', 'having', 'the', 'worst', 'service', 'i', 'have', 'ever', 'seen', 'from', 'that', 'place', 'its', 'impossible', 'to', 'notice', 'they', 'arent', 'as', 'busy', 'as', 'they', 'used', 'to', 'be', 'because', 'most', 'of', 'their', 'clients', 'have', 'left', 'My', 'sister', 'nieces', 'my', 'mother', 'some', 'of', 'my', 'friends', 'all', 'used', 'to', 'go', 'there', 'as', 'well', 'but', 'stopped', 'and', 'switched', 'to', 'a', 'different', 'nail', 'salon', 'because', 'of', 'how', 'terrible', 'their', 'customer', 'service', 'has', 'gotten', 'and', 'their', 'nails', 'arent', 'as', 'good', 'as', 'they', 'used', 'to', 'be', 'Today', 'I', 'called', 'them', 'twice', 'around', '115pm', 'before', 'going', 'in', 'and', 'got', 'no', 'answer', 'so', 'i', 'figured', 'they', 'were', 'busy', 'but', 'i', 'went', 'in', 'they', 'werent', 'busy', 'at', 'all', 'so', 'then', 'i', 'proceed', 'to', 'ask', 'about', 'how', 'long', 'for', 'a', 'gel', 'manicure', 'the', 'young', 'man', 'asked', 'and', 'the', 'heavier', 'set', 'lady', 'that', 'always', 'has', 'a', 'ugly', 'attitude', 'and', 'always', 'messed', 'up', 'my', 'nails', 'and', 'eyebrows', 'responded', 'with', 'we', 'dont', 'know', 'how', 'long', 'so', 'if', 'you', 'can', 'wait', 'we', 'can', 'do', 'them', 'for', 'you', 'and', 'if', 'you', 'cant', 'then', 'you', 'can', 'go', 'i', 'looked', 'at', 'the', 'young', 'man', 'and', 'he', 'said', 'with', 'a', 'smirk', 'on', 'his', 'face', 'we', 'dont', 'know', 'how', 'long', 'i', 'looked', 'at', 'them', 'in', 'shock', 'and', 'i', 'was', 'going', 'to', 'wait', 'but', 'they', 'didnt', 'deserve', 'my', 'money', 'after', 'the', 'service', 'they', 'had', 'just', 'given', 'me', 'so', 'i', 'said', 'ok', 'thanks', 'and', 'left', 'I', 'am', 'now', 'getting', 'my', 'nails', 'done', 'at', 'Red', 'Nails', 'on', '24st', 'and', 'baseline', 'and', 'im', 'highly', 'satisfied', 'I', 'called', 'right', 'after', 'i', 'left', 'Pro', 'ten', 'with', 'their', 'disgusting', 'service', 'and', 'asked', 'them', 'the', 'SAME', 'question', 'i', 'asked', 'at', 'pro', 'ten', 'and', 'red', 'nails', 'told', 'me', '1015', 'minutes', 'i', 'showed', 'up', 'and', 'was', 'greeted', 'and', 'sat', 'immediately', 'AND', 'they', 'were', 'A', 'LOT', 'more', 'busier', 'than', 'pro', 'ten', 'I', 'have', 'now', 'found', 'my', 'new', 'Nail', 'Salon', 'for', 'now', 'on', 'recommended', 'by', 'my', 'sister', 'and', 'nieces', 'RED', 'NAILS', 'AND', 'SPA', 'on', '24st', 'Baseline', 'Highly', 'recommend', 'them', 'if', 'anyone', 'gets', 'fed', 'up', 'with', 'the', 'customer', 'service', 'Pro', 'Ten', 'is', 'giving']",1,0
14,"['I', 'should', 'have', 'looked', 'at', 'yelp', 'before', 'contact', 'this', 'company', 'for', 'a', 'garage', 'for', 'a', 'rental', 'property', 'which', 'was', 'stuck', 'and', 'need', 'access', 'They', 'charged', '799', 'for', 'a', 'garage', 'door', 'which', 'I', 'later', 'looked', 'up', 'can', 'be', 'purchased', 'for', '350', 'and', 'more', 'to', 'install', 'it']",1,0
15,"['This', 'McDonalds', 'is', 'the', 'Worst', 'McDonalds', 'of', 'All', 'McDonalds', 'in', 'the', 'History', 'of', 'McDonalds', 'They', 'have', 'a', 'friendly', 'Staff', 'but', 'the', 'food', 'is', 'ALWAYS', 'Cold', 'Sloppily', 'prepared', 'Cold', 'Excessively', 'late', 'Cold', 'and', 'cold', 'The', 'window', 'people', 'are', 'so', 'cool', 'and', 'friendly', 'What', 'Exactly', 'is', 'going', 'on', 'in', 'this', 'Kitchen']",1,0
16,"['Poor', 'quality', 'food', 'even', 'compared', 'to', 'other', 'ayce', 'restaurants', 'Fish', 'is', 'definitely', 'not', 'fresh', 'and', 'the', 'cooked', 'food', 'tasted', 'like', 'fast', 'food', 'There', 'are', 'far', 'better', 'ayce', 'sushi', 'options', 'out', 'there', 'for', 'anyone', 'to', 'return', 'to', 'this', 'store', 'The', 'main', 'issue', 'with', 'my', 'visit', 'was', 'that', 'the', 'rice', 'was', 'very', 'hard', 'as', 'if', 'it', 'was', 'leftovers', 'from', 'yesterday', 'The', 'menu', 'boasts', 'a', 'wide', 'selection', 'but', 'in', 'truth', 'its', 'around', 'the', 'same', 'as', 'most', 'ayce', 'selections', 'not', 'to', 'mention', 'their', 'cooked', 'foods', 'all', 'taste', 'the', 'same', 'probably', 'filled', 'with', 'salt', 'and', 'msg']",1,2
17,"['Whenever', 'I', 'walk', 'past', 'this', 'restaurant', 'it', 'is', 'always', 'packed', 'I', 'finally', 'decided', 'to', 'try', 'this', 'place', 'with', 'a', 'friend', 'and', 'it', 'was', 'not', 'bad', 'at', 'all', 'The', 'bartender', 'was', 'quite', 'flirty', 'but', 'not', 'creepy', 'The', 'server', 'joked', 'a', 'bit', 'with', 'us', 'and', 'provided', 'some', 'recommendations', 'The', 'food', 'was', 'mediocre', 'and', 'the', 'prices', 'were', 'reasonable', 'I', 'had', 'the', 'penza', 'which', 'was', 'rigatoni', 'with', 'vodka', 'sauce', 'and', 'pancetta', 'It', 'was', 'just', 'fine', 'nothing', 'special', 'I', 'also', 'had', 'the', 'tiramisu', 'which', 'is', 'house', 'made', 'but', 'it', 'was', 'not', 'tasty', 'at', 'all', 'too', 'dry', 'and', 'not', 'sweet', 'enough', 'The', 'restaurant', 'was', 'quite', 'crowded', 'and', 'loud', 'I', 'wish', 'that', 'they', 'had', 'spaced', 'the', 'tables', 'out', 'better', 'I', 'wouldnt', 'go', 'back', 'as', 'there', 'are', 'far', 'better', 'Italian', 'restaurants', 'to', 'visit', 'in', 'the', 'city', 'and', 'they', 'seem', 'to', 'be', 'doing', 'just', 'fine', 'with', 'my', 'business']",0,2
18,"['This', 'whole', 'concept', 'store', 'layout', 'needs', 'to', 'be', 'just', 'that', 'a', 'concept', 'somebody', 'considered', 'briefly', 'while', 'hungover', 'and', 'then', 'appropriately', 'discarded', 'Ive', 'been', 'here', 'enough', 'times', 'now', 'to', 'know', 'that', 'the', 'store', 'is', 'incredibly', 'cramped', 'difficult', 'to', 'navigate', 'and', 'at', 'times', 'downright', 'claustrophobic', 'The', 'kicker', 'was', 'yesterday', 'when', 'I', 'was', 'trying', 'to', 'get', 'through', 'the', 'twee', 'little', 'rooms', 'without', 'knocking', 'any', 'displays', 'over', 'with', 'either', 'my', 'purse', 'not', 'huge', 'or', 'my', 'shopping', 'bags', 'not', 'excessive', 'in', 'number', 'or', 'size', 'Impossible', 'I', 'just', 'wanted', 'to', 'get', 'the', 'F', 'out', 'of', 'there', 'especially', 'when', 'some', 'toddler', 'started', 'wheeling', 'his', 'own', 'stroller', 'around', 'in', 'a', 'tight', 'area', 'while', 'his', 'oblivious', 'mother', 'using', 'that', 'term', 'loosely', 'mind', 'you', 'shopped', 'one', 'room', 'over', 'Um', 'no', 'thanks', 'And', 'you', 'know', 'what', 'the', 'kicker', 'is', 'I', 'almost', 'feel', 'as', 'is', 'their', 'selection', 'got', 'smaller', 'How', 'is', 'that', 'possible']",0,1
19,"['This', 'store', 'has', 'some', 'really', 'weird', 'associates', 'that', 'have', 'some', 'kind', 'of', 'attitude', 'towards', 'each', 'other', 'and', 'their', 'customers', 'Really', 'weird', 'vibe', 'I', 'got', 'being', 'in', 'here', 'for', 'not', 'even', 'ten', 'minutes', 'So', 'weird', 'of', 'a', 'vibe', 'that', 'I', 'was', 'itching', 'to', 'get', 'out', 'of', 'their', 'store', 'Im', 'uncomfortable', 'with', 'the', 'idea', 'of', 'ever', 'going', 'back', 'in', 'there', 'again']",1,0
20,"['I', 'go', 'to', 'Ali', 'Babas', 'intermittently', 'when', 'I', 'have', 'a', 'craving', 'for', 'shwarma', 'or', 'felafel', 'Their', 'food', 'is', 'mediocre', 'and', 'geared', 'towards', 'poorquality', 'lowprice', 'end', 'of', 'the', 'spectrum', 'Service', 'is', 'okay', 'and', 'the', 'store', 'could', 'be', 'a', 'bit', 'cleaner', 'My', 'other', 'critique', 'is', 'about', 'their', 'daily', 'specials', 'promotion', 'These', 'promos', 'appear', 'cheap', 'but', 'are', 'not', 'good', 'as', 'they', 'sound', 'obviously', 'Take', 'the', 'tuesday', 'special', 'for', 'example', '2', 'felafels', 'for', 'the', 'price', 'of', '1', 'They', 'will', 'use', 'only', 'two', 'felafels', 'instead', 'of', 'three', 'per', 'sandwich', 'and', 'use', 'other', 'condiments', 'sparingly', 'as', 'well', 'I', 'understand', 'that', 'this', 'is', 'a', 'marketing', 'tactic', 'but', 'its', 'misleading', 'for', 'sure']",0,1
21,"['I', 'love', 'the', 'Mucho', 'Buritto', 'in', 'Vaughan', 'Hwy', '7Jane', 'and', 'the', 'one', 'on', 'WestonMajor', 'Mackenzie', 'But', 'this', 'particular', 'one', 'at', 'Courtney', 'Park', 'is', 'TERRIBLE', 'It', 'was', 'cold', 'chicken', 'tastes', 'rubbery', 'and', 'did', 'not', 'taste', 'FRESH', 'at', 'all', 'Also', 'when', 'I', 'asked', 'for', 'more', 'vegetables', 'I', 'was', 'told', 'maam', 'this', 'is', 'the', 'serving', 'size', 'And', 'I', 'can', 'tell', 'you', 'that', 'it', 'isnt', 'because', 'I', 'have', 'been', 'to', 'many', 'Mucho', 'Burritos', 'and', 'I', 'get', 'way', 'more', 'veggies', 'then', 'he', 'that', 'They', 'cheap', 'out', 'on', 'that', 'The', 'service', 'is', 'slow', 'There', 'is', 'a', 'lack', 'of', 'communication', 'and', 'it', 'made', 'the', 'line', 'go', 'so', 'slow', 'I', 'am', 'never', 'going', 'back']",1,0
