,input_words,predicted_label,gold_label
11,"['I', 'can', 'even', 'give', 'one', 'star', 'The', 'experience', 'trying', 'to', 'get', 'Internet', 'installed', 'in', 'my', 'new', 'home', 'was', 'a', 'joke', 'I', 'ordered', 'the', 'install', 'on', 'November', '29th', 'for', 'January', '14th', 'plenty', 'of', 'time', 'to', 'get', 'correct', 'The', 'called', 'for', 'the', 'install', 'Dec', '10th', 'a', 'little', 'early', 'dont', 'you', 'think', 'Called', 'verified', 'the', 'correct', 'date', 'and', 'waited', 'for', 'the', 'tech', 'no', 'knock', 'no', 'door', 'hanger', 'no', 'service', 'Called', 'scheduled', 'a', 'tech', 'for', 'the', 'next', 'day', 'between', '1', 'and', '5', 'No', 'show', 'called', 'no', 'ticket', 'for', 'service', 'After', 'literally', 'hours', 'on', 'the', 'phone', 'I', 'cancelled', 'all', 'and', 'going', 'back', 'to', 'Cox', 'DON', 'T', 'even', 'consider', 'going', 'with', 'Century', 'Link']",0,0
12,"['If', 'youre', 'thinking', 'of', 'repair', 'your', 'car', 'here', 'without', 'any', 'knowledge', 'about', 'mechanic', 'dont', 'do', 'it', 'because', 'you', 'will', 'be', 'overpriced', 'and', 'you', 'wont', 'be', 'able', 'to', 'discuss', 'the', 'prices', 'with', 'the', 'representative', 'That', 'happened', 'to', 'me', 'and', 'the', 'person', 'who', 'attended', 'me', 'was', 'so', 'rude', 'I', 'was', 'just', 'trying', 'to', 'change', 'my', 'radiator', 'and', 'previously', 'I', 'checked', 'the', 'AutoZone', 's', 'prices', 'and', 'there', 'a', '90', 'dollars', 'and', 'lifetime', 'warranty', 'and', 'they', 'want', 'to', 'charge', 'me', '340', 'So', 'I', 'told', 'that', 'to', 'him', 'hoping', 'to', 'agreed', 'in', 'a', 'razonable', 'price', 'for', 'the', 'service', 'Sadly', 'it', 'never', 'happened', 'because', 'the', 'attendant', 'didnt', 'want', 'talk', 'a', 'word', 'about', 'it', 'and', 'I', 'was', 'kicked', 'off', 'without', 'any', 'manners', 'So', 'I', 'definitely', 'dont', 'recommend', 'this', 'place', 'I', 'have', 'an', 'unpleasant', 'experience', 'there']",0,0
13,"['If', 'you', 'like', 'your', 'food', 'to', 'be', 'extra', 'salty', 'then', 'this', 'place', 'is', 'for', 'you', 'I', 'never', 'went', 'to', 'a', 'place', 'where', 'they', 'cooked', 'in', 'front', 'of', 'your', 'and', 'the', 'chefs', 'just', 'kinda', 'went', 'through', 'a', 'routine', 'and', 'didnt', 'interact', 'with', 'me', 'or', 'my', 'friends', 'at', 'all', 'Second', 'its', 'really', 'expensive', 'for', 'just', 'some', 'rice', 'or', 'noodles', 'with', 'a', 'little', 'bit', 'of', 'of', 'two', 'sides', 'like', 'chicken', 'or', 'steak', 'which', 'we', 'got', 'The', 'serve', 'you', 'soup', 'which', 'is', 'another', 'really', 'salty', 'no', 'color', 'water', 'with', 'their', 'really', 'flat', 'mushrooms', 'All', 'and', 'all', 'its', 'really', 'over', 'priced', 'the', 'showmen', 'ship', 'could', 'be', 'better', 'and', 'the', 'food', 'tastes', 'better', 'from', 'great', 'wall', 'or', 'any', 'other', 'ChineseJapanese', 'place']",1,1
14,"['It', 'should', 'be', 'called', 'Piece', 'of', 'Shit', 'not', 'Piece', 'of', 'Me', 'I', 'dont', 'feel', 'like', 'wasting', 'more', 'time', 'with', 'this', 'but', 'as', 'an', 'elite', 'yelper', 'its', 'my', 'duty', 'to', 'make', 'sure', 'people', 'dont', 'get', 'their', 'hopes', 'up', 'too', 'much', 'Its', 'basically', 'like', 'going', 'to', 'see', 'a', 'movie', 'of', 'a', 'concert', 'But', 'much', 'more', 'expensive', 'The', 'songs', 'are', 'amazing', 'everyone', 'knows', 'every', 'word', 'and', 'dances', 'the', 'whole', 'time', 'After', 'a', 'few', 'drinks', 'its', 'definitely', 'a', 'good', 'time', 'But', 'for', 'being', 'a', 'concert', 'this', 'is', 'really', 'really', 'bad', 'You', 'cant', 'see', 'her', 'face', 'because', 'there', 'are', 'no', 'screens', 'but', 'its', 'very', 'easy', 'to', 'see', 'from', 'any', 'seat', 'in', 'the', 'house', 'just', 'how', 'bad', 'of', 'a', 'dancer', 'she', 'is', 'The', 'only', 'time', 'I', 'heard', 'her', 'voice', 'was', 'when', 'she', 'would', 'talk', 'between', 'songs', 'and', 'say', 'oh', 'my', 'god', 'Yall', 'are', 'SO', 'HOT', 'a', 'lot', 'She', 'does', 'lots', 'of', 'pointing', 'and', 'walking', 'around', 'The', 'whole', 'thing', 'was', 'MEH', 'CITY']",1,1
15,"['Beware', 'Ask', 'about', 'their', '25', 'prescription', 'renewal', 'fee', 'before', 'booking', 'appt', 'They', 'actually', 'charge', 'their', 'patients', '25', 'to', 'call', 'in', 'a', 'refill', 'prescription', 'to', 'your', 'pharmacy', 'and', 'I', 'am', 'talking', 'about', 'scrips', 'as', 'basic', 'as', 'annual', 'allergy', 'meds', 'Option', '2', 'is', 'to', 'book', 'a', 'second', 'appt', 'repeat', 'lab', 'work', 'and', 'then', 'they', 'will', 'renew', 'script', 'This', 'is', 'just', 'wrong', 'Who', 'charges', '25', 'just', 'to', 'renew', 'a', 'perscription', 'Oh', 'My', 'Dr', 'Now', 'does']",0,0
16,"['Not', 'good', '10', 'for', 'lunch', 'eat', 'all', 'you', 'can', 'soda', '3', 'Everything', 'is', 'below', 'average', 'and', 'yet', 'its', 'busy', 'Marie', 'Calendar', 'is', 'a', 'better', 'choice', 'for', 'soup', 'and', 'salad']",1,1
17,"['Ive', 'been', 'to', 'this', 'Shoeless', 'Joes', 'location', 'on', 'quite', 'a', 'few', 'occasions', 'and', 'have', 'been', 'to', 'a', 'few', 'parties', 'in', 'their', 'bar', 'as', 'well', 'The', 'thing', 'about', 'this', 'Shoeless', 'Joes', 'is', 'that', 'I', 'want', 'to', 'love', 'it', 'I', 'really', 'do', 'but', 'I', 'just', 'dont', 'Why', 'do', 'I', 'want', 'to', 'love', 'it', 'Well', 'the', 'staff', 'are', 'superfriendly', 'and', 'the', 'space', 'is', 'amazing', 'They', 'have', 'a', 'sportscentre', 'in', 'the', 'back', 'of', 'the', 'bar', 'area', 'with', 'reclining', 'leather', 'chairs', 'and', 'walltowall', 'screens', 'They', 'have', 'a', 'few', 'private', 'dining', 'areas', 'which', 'are', 'really', 'nice', 'and', 'their', 'booths', 'all', 'have', 'private', 'TVs', 'They', 'have', 'a', 'great', 'convenient', 'location', 'and', 'have', 'a', 'really', 'full', 'menu', 'that', 'has', 'something', 'for', 'everyone', 'So', 'why', 'dont', 'I', 'love', 'it', 'Well', 'Im', 'extremely', 'partial', 'to', 'sliders', 'and', 'upon', 'my', 'first', 'visit', 'there', 'I', 'was', 'so', 'happy', 'to', 'see', 'that', 'they', 'have', 'tons', 'of', 'slider', 'options', 'The', 'first', 'time', 'I', 'ordered', 'them', 'it', 'was', 'St', 'Patricks', 'Day', 'and', 'it', 'was', 'insanely', 'busy', 'They', 'got', 'my', 'order', 'wrong', 'the', 'first', 'time', 'but', 'quickly', 'changed', 'it', 'However', 'when', 'I', 'did', 'get', 'my', 'sliders', 'they', 'were', 'cold', 'So', 'disappointing', 'but', 'I', 'decided', 'to', 'give', 'them', 'another', 'chance', 'since', 'it', 'was', 'so', 'busy', 'that', 'evening', 'Maybe', 'a', 'week', 'later', 'I', 'went', 'back', 'to', 'try', 'the', 'Chicken', 'Wing', 'Sliders', 'unfortunately', 'they', 'got', 'my', 'order', 'wrong', 'again', 'but', 'this', 'time', 'I', 'was', 'in', 'a', 'rush', 'and', 'just', 'ate', 'the', 'sliders', 'They', 'were', 'good', 'not', 'great', 'The', 'main', 'issue', 'I', 'have', 'with', 'them', 'is', 'that', 'they', 'have', 'a', 'wonderbread', 'type', 'bun', 'Just', 'empty', 'whitebread', 'carbs', 'that', 'basically', 'taste', 'like', 'nothingness', 'and', 'if', 'youre', 'paying', 'around', '15', 'for', 'sliders', 'I', 'would', 'hope', 'to', 'have', 'something', 'a', 'bit', 'better', 'Ive', 'been', 'a', 'few', 'other', 'times', 'and', 'have', 'had', 'salads', 'which', 'are', 'decent', 'and', 'also', 'they', 'make', 'an', 'excellent', 'Caesar', 'which', 'have', 'little', 'pepperonis', 'as', 'a', 'garnish', 'Their', 'food', 'on', 'a', 'whole', 'though', 'is', 'just', 'okay', 'I', 'really', 'think', 'its', 'the', 'fact', 'that', 'I', 'love', 'the', 'staff', 'that', 'will', 'keep', 'me', 'going', 'back', 'but', 'they', 'will', 'probably', 'keep', 'disappointing', 'me', 'on', 'the', 'foodfront']",1,1
18,"['I', 'really', 'dont', 'care', 'if', 'the', 'food', 'from', 'this', 'establishment', 'is', 'good', 'After', 'walking', 'in', 'and', 'ordering', 'fried', 'rice', 'pad', 'kee', 'mao', 'and', 'red', 'curry', 'we', 'sat', 'for', '45', 'minutes', 'for', 'our', 'togo', 'order', 'Thai', 'taste', 'could', 'have', 'the', 'best', 'food', 'on', 'the', 'planet', 'but', 'I', 'will', 'never', 'again', 'order', 'from', 'this', 'restaurant', 'To', 'be', 'fair', 'the', 'curry', 'and', 'pad', 'kee', 'mao', 'were', 'pretty', 'tasty', 'however', 'the', 'fried', 'rice', 'barely', 'qualified', 'as', 'fried', 'Service', 'was', 'friendly', 'I', 'still', 'will', 'not', 'patronize', 'this', 'establishment', 'in', 'the', 'future']",0,0
19,"['we', 'had', 'a', 'nice', 'time', 'in', 'your', 'city', 'UNTIL', 'SUNDAY', 'EVENING', 'WHO', 'in', 'their', 'WRONG', 'MIND', 'decided', 'that', 'it', 'was', 'good', 'idea', 'to', 'close', 'the', 'Las', 'Vegas', 'strip', 'for', 'over', '6', 'hours', 'this', 'past', 'Sunday', 'December', '4', '2011', 'The', 'rodeo', 'finals', 'were', 'in', 'town', 'the', 'cowboy', 'christmas', 'the', 'michael', 'jackson', 'cirque', 'immortal', 'tour', 'was', 'openning', 'there', 'was', 'a', 'big', 'fight', 'and', 'so', 'on', 'and', 'so', 'onthe', 'city', 'was', 'packed', 'Your', 'city', 'will', 'be', 'really', 'lucky', 'if', 'nobody', 'missed', 'their', 'shows', 'dinner', 'reservations', 'and', 'flights', 'out', 'on', 'Sunday', 'afternoon', 'It', 'took', 'us', '2', 'hours', 'by', 'tram', 'and', 'monorail', 'to', 'get', 'to', 'the', 'Mandalay', 'Bay', 'With', 'a', 'lot', 'of', 'walking', 'tooin', 'HIGH', 'HEELS', 'as', 'I', 'thought', 'we', 'were', 'taking', 'a', 'Cab', 'But', 'alas', 'the', 'cabs', 'never', 'left', 'the', 'driveway', 'Persons', 'heading', 'to', 'the', 'airport', 'were', 'told', 'it', 'would', 'take', 'upwards', 'of', '3', 'hours', 'to', 'get', 'to', 'the', 'airport', 'I', 'imagine', 'a', 'lot', 'of', 'people', 'were', 'missing', 'flights', 'People', 'were', 'walking', 'in', 'the', 'middle', 'of', 'the', 'marathon', 'and', 'blocking', 'the', 'races', 'The', 'marathon', 'ended', 'at', 'the', 'back', 'entrance', 'to', 'the', 'Mandalay', 'Bay', 'at', 'the', 'same', 'exact', 'time', 'that', 'the', 'Michael', 'Jackson', 'show', 'let', 'out', 'Thankfully', 'chaos', 'did', 'not', 'insue', 'because', 'we', 'would', 'have', 'been', 'lucky', 'to', 'live', 'though', 'that', 'The', 'place', 'was', 'crowded', 'to', 'the', 'point', 'that', 'children', 'who', 'are', 'claustrophic', 'were', 'crying', 'near', 'us', 'And', 'I', 'dont', 'know', 'about', 'the', 'racers', 'I', 'imagine', 'they', 'were', 'pretty', 'tired', 'Hope', 'nobody', 'collapsed', 'becauser', 'THERE', 'WAS', 'NO', 'WAY', 'IN', 'or', 'OUT', 'We', 'were', 'stuck', 'It', 'took', 'almost', 'an', 'hour', 'to', 'get', 'out', 'of', 'the', 'Mandalay', 'Bay', 'hotel', 'There', 'is', 'no', 'reason', 'for', 'this', 'to', 'have', 'happened', 'There', 'are', 'plenty', 'of', 'streets', 'in', 'Las', 'Vegas', 'to', 'hold', 'the', 'Marathon', 'on', 'that', 'would', 'not', 'have', 'caused', 'this', 'much', 'insanity', 'Wowurban', 'planning', 'dept', 'and', 'police', 'and', 'special', 'events', 'should', 'be', 'trained', 'or', 'fired', 'This', 'was', 'atrocious']",0,0
20,"['Got', 'here', '30', 'mins', 'before', 'they', 'closed', 'and', 'they', 'did', 'my', 'gel', 'nails', 'I', 'thought', 'it', 'was', 'a', 'good', 'job', 'The', 'place', 'is', 'pretty', 'nice', 'in', 'comparison', 'to', 'other', 'nail', 'salons', 'in', 'strip', 'malls', 'I', 'went', 'here', 'one', 'more', 'time', 'and', 'its', 'going', 'to', 'be', 'the', 'last', 'I', 'got', 'acrylic', 'and', 'not', 'only', 'did', 'they', 'go', 'through', 'the', 'show', 'of', 'asking', 'me', 'multiple', 'times', 'if', 'I', 'wanted', 'gel', 'instead', 'saying', 'no', 'thank', 'you', 'every', 'time', 'the', 'lady', 'drilled', 'into', 'my', 'skin', 'She', 'paid', 'no', 'mind', 'to', 'the', 'fact', 'it', 'was', 'bleeding', 'and', 'continued', 'to', 'fill', 'them', 'in', 'anyway', 'resulting', 'to', 'my', 'thumb', 'being', 'in', 'pain', 'and', 'proceeding', 'to', 'becoming', 'infected', 'within', 'a', 'week', 'Furthermore', 'my', 'nails', 'look', 'bad', 'Its', 'only', 'been', 'a', 'week', 'and', 'theyre', 'bumpy', 'and', 'peeling', 'at', 'the', 'bottom', 'Ive', 'gotten', 'acrylic', 'many', 'many', 'times', 'before', 'so', 'I', 'know', 'my', 'nails', 'dont', 'normally', 'do', 'this', 'I', 'understand', 'not', 'everyone', 'can', 'be', 'perfect', 'working', 'the', 'drill', 'but', 'I', 'received', 'no', 'apology', 'and', 'I', 'paid', 'full', 'price', 'to', 'leave', 'with', 'a', 'bleeding', 'thumb', 'And', 'it', 'just', 'sucks', 'that', 'a', 'week', 'later', 'it', 'still', 'hurts', 'and', 'they', 'dont', 'even', 'look', 'good', 'The', 'two', 'stars', 'is', 'for', 'my', 'first', 'trip', 'but', 'Im', 'over', 'this', 'place']",1,1
21,"['What', 'a', 'major', 'disappointment', 'This', 'used', 'to', 'be', 'a', 'favorite', 'but', 'since', 'an', 'ownership', 'change', 'it', 'has', 'gone', 'waaaaaaay', 'down', 'to', 'the', 'point', 'that', 'I', 'just', 'walked', 'out', 'because', 'we', 'could', 'get', 'no', 'service', 'It', 'was', 'not', 'bad', 'service', 'literally', 'zero', 'service', 'After', 'waiting', 'in', 'line', 'for', 'the', 'hostess', 'even', 'though', 'there', 'were', 'empty', 'tables', 'we', 'were', 'finally', 'seated', 'and', 'then', 'never', 'acknowledged', 'No', 'water', 'Nothing', 'No', 'one', 'cared', 'even', 'though', 'many', 'workers', 'passed', 'right', 'by', 'us', 'In', 'my', 'opinion', 'way', 'past', 'time', 'for', 'a', 'management', 'change', 'Maybe', 'they', 'can', 'exist', 'on', 'the', 'tourist', 'traffic', 'alone', 'but', 'this', 'is', 'one', 'local', 'that', 'will', 'not', 'accept', 'this', 'type', 'of', 'service', 'or', 'rather', 'lack', 'of', 'service']",0,0
